Word,KL_Divergence,Max_Index,Max_elementwise_KL
load,0.39120781421661377,"('outdoors', 'man-made', 'transportation_urban')",0.18677568435668945
cook,0.5500582456588745,"('indoors', 'man-made', 'domestic')",0.18364091217517853
shut,0.3895036578178406,"('outdoors', 'man-made', 'recreation')",0.1796683818101883
deliver,0.3824763298034668,"('outdoors', 'man-made', 'transportation_urban')",0.1720295548439026
crawl,0.4678548574447632,"('outdoors', 'man-made', 'recreation')",0.1720295548439026
pretend,0.4933669865131378,"('indoors', 'man-made', 'work_education')",0.1678532063961029
shake,0.45571839809417725,"('outdoors', 'man-made', 'recreation')",0.15901216864585876
*****,*****,*****,*****
ski,0.31274092197418213,"('outdoors', 'natural', 'mountain')",0.41138410568237305
drink,0.32559168338775635,"('indoors', 'man-made', 'restaurant')",0.33572179079055786
overlook,0.3554597496986389,"('outdoors', 'natural', 'mountain')",0.32144108414649963
examine,0.32670876383781433,"('indoors', 'man-made', 'work_education')",0.2951124310493469
grab,0.3106363117694855,"('outdoors', 'man-made', 'recreation')",0.29039302468299866
practice,0.2586684226989746,"('indoors', 'man-made', 'recreation')",0.279348224401474
walk,0.1999780833721161,"('outdoors', 'man-made', 'transportation_urban')",0.2793431878089905
ask,0.19875413179397583,"('indoors', 'man-made', 'recreation')",0.26174741983413696
post,0.25134384632110596,"('outdoors', 'man-made', 'transportation_urban')",0.26149824261665344
put,0.28801074624061584,"('indoors', 'man-made', 'work_education')",0.25735601782798767
kick,0.31040096282958984,"('outdoors', 'man-made', 'recreation')",0.2515805661678314
strike,0.31695765256881714,"('indoors', 'man-made', 'recreation')",0.2513781785964966
buy,0.35531604290008545,"('indoors', 'man-made', 'work_education')",0.2481275200843811
sleep,0.32465240359306335,"('indoors', 'man-made', 'domestic')",0.24561241269111633
rain,0.28038322925567627,"('outdoors', 'man-made', 'transportation_urban')",0.24157389998435974
reveal,0.31493785977363586,"('outdoors', 'man-made', 'recreation')",0.23847495019435883
dig,0.2876338064670563,"('outdoors', 'man-made', 'work_education')",0.23222270607948303
compete,0.3511544466018677,"('indoors', 'man-made', 'recreation')",0.23184019327163696
stop,0.21945229172706604,"('outdoors', 'man-made', 'transportation_urban')",0.22948294878005981
perform,0.1987147033214569,"('indoors', 'man-made', 'recreation')",0.22905099391937256
park,0.20608238875865936,"('outdoors', 'man-made', 'recreation')",0.2287893444299698
flood,0.3450412452220917,"('outdoors', 'man-made', 'recreation')",0.2078297734260559
give,0.2123292088508606,"('indoors', 'man-made', 'work_education')",0.2047947496175766
sweep,0.33116933703422546,"('outdoors', 'man-made', 'transportation_urban')",0.198927640914917
test,0.1838468313217163,"('outdoors', 'man-made', 'transportation_urban')",0.19888901710510254
balance,0.20633062720298767,"('indoors', 'man-made', 'recreation')",0.19613142311573029
fly,0.27816471457481384,"('outdoors', 'natural', 'body_of_water')",0.19575843214988708
smoke,0.28122344613075256,"('outdoors', 'man-made', 'transportation_urban')",0.19087223708629608
shine,0.2483958899974823,"('outdoors', 'man-made', 'transportation_urban')",0.19013595581054688
throw,0.25306010246276855,"('outdoors', 'man-made', 'recreation')",0.18873240053653717
block,0.18579594790935516,"('indoors', 'man-made', 'recreation')",0.18690113723278046
laugh,0.23965886235237122,"('indoors', 'man-made', 'domestic')",0.17920593917369843
knock,0.3079957067966461,"('indoors', 'man-made', 'recreation')",0.1720295548439026
wrap,0.3039928078651428,"('indoors', 'man-made', 'domestic')",0.17017439007759094
drive,0.20617984235286713,"('outdoors', 'man-made', 'transportation_urban')",0.16729605197906494
converse,0.31076571345329285,"('outdoors', 'man-made', 'transportation_urban')",0.1650126725435257
wait,0.18306639790534973,"('outdoors', 'man-made', 'transportation_urban')",0.16395686566829681
attach,0.1962406486272812,"('outdoors', 'man-made', 'transportation_urban')",0.16288185119628906
pile,0.27831539511680603,"('outdoors', 'man-made', 'transportation_urban')",0.16265739500522614
safe,0.20645302534103394,"('outdoors', 'man-made', 'transportation_urban')",0.16031667590141296
opposite,0.22549256682395935,"('outdoors', 'man-made', 'transportation_urban')",0.15802815556526184
catch,0.25022709369659424,"('outdoors', 'man-made', 'recreation')",0.15496639907360077
seat,0.1897672414779663,"('outdoors', 'man-made', 'transportation_urban')",0.153984934091568
drag,0.2218884825706482,"('outdoors', 'man-made', 'recreation')",0.15201595425605774
press,0.1954117864370346,"('outdoors', 'man-made', 'recreation')",0.14967158436775208
chase,0.24261683225631714,"('outdoors', 'natural', 'field_forest')",0.14895617961883545
prevent,0.3123953938484192,"('indoors', 'man-made', 'domestic')",0.14839352667331696
work,0.20381255447864532,"('outdoors', 'man-made', 'transportation_urban')",0.1476084440946579
speak,0.24093808233737946,"('indoors', 'man-made', 'work_education')",0.1469193994998932
master,0.28894391655921936,"('indoors', 'man-made', 'domestic')",0.14433126151561737
land,0.17445257306098938,"('outdoors', 'man-made', 'recreation')",0.1434871405363083
emerge,0.24243976175785065,"('outdoors', 'man-made', 'transportation_urban')",0.14343348145484924
cut,0.26950526237487793,"('indoors', 'man-made', 'work_education')",0.1395871639251709
collect,0.20055389404296875,"('indoors', 'man-made', 'work_education')",0.13783563673496246
stuff,0.2745670676231384,"('indoors', 'man-made', 'domestic')",0.13502204418182373
contain,0.2270916998386383,"('outdoors', 'man-made', 'transportation_urban')",0.1341858208179474
grin,0.2284848839044571,"('outdoors', 'man-made', 'recreation')",0.12314444780349731
pattern,0.30514487624168396,"('outdoors', 'man-made', 'transportation_urban')",0.1230345144867897
attract,0.22032229602336884,"('outdoors', 'man-made', 'transportation_urban')",0.12260613590478897
approach,0.2799181640148163,"('outdoors', 'man-made', 'transportation_urban')",0.11988840997219086
express,0.21654914319515228,"('outdoors', 'man-made', 'recreation')",0.11815067380666733
display,0.21615470945835114,"('outdoors', 'man-made', 'transportation_urban')",0.11705184727907181
grind,0.26542919874191284,"('outdoors', 'man-made', 'recreation')",0.11494667828083038
happy,0.2043464183807373,"('indoors', 'man-made', 'domestic')",0.11470753699541092
kiss,0.30943208932876587,"('outdoors', 'natural', 'field_forest')",0.11342473328113556
stare,0.22843113541603088,"('outdoors', 'man-made', 'transportation_urban')",0.11110233515501022
partial,0.26199594140052795,"('outdoors', 'man-made', 'work_education')",0.11068696528673172
cause,0.2822788953781128,"('outdoors', 'man-made', 'transportation_urban')",0.1047619879245758
pause,0.21459968388080597,"('outdoors', 'man-made', 'recreation')",0.10178129374980927
come,0.20066118240356445,"('outdoors', 'man-made', 'recreation')",0.10160700976848602
blur,0.21739254891872406,"('outdoors', 'man-made', 'recreation')",0.10028621554374695
find,0.223282128572464,"('outdoors', 'man-made', 'recreation')",0.10028621554374695
observe,0.21137069165706635,"('outdoors', 'man-made', 'transportation_urban')",0.10019981861114502
create,0.24995219707489014,"('indoors', 'man-made', 'recreation')",0.09846623241901398
spray,0.2354215532541275,"('outdoors', 'man-made', 'transportation_urban')",0.098334401845932
touch,0.18299545347690582,"('indoors', 'man-made', 'recreation')",0.09609568864107132
blow,0.1937202364206314,"('outdoors', 'natural', 'field_forest')",0.09459370374679565
stay,0.26018643379211426,"('outdoors', 'man-made', 'transportation_urban')",0.09425151348114014
travel,0.2717536985874176,"('outdoors', 'man-made', 'transportation_urban')",0.09425151348114014
share,0.1854696273803711,"('outdoors', 'man-made', 'transportation_urban')",0.08408468961715698
chat,0.23645666241645813,"('outdoors', 'man-made', 'transportation_urban')",0.08063647896051407
operate,0.17570330202579498,"('outdoors', 'man-made', 'recreation')",0.07440034300088882
discuss,0.22406470775604248,"('outdoors', 'man-made', 'transportation_urban')",0.06650909781455994
*****,*****,*****,*****
fight,0.17059922218322754,"('indoors', 'man-made', 'recreation')",0.1814412623643875
sign,0.13271911442279816,"('outdoors', 'man-made', 'transportation_urban')",0.16811200976371765
cross,0.11379212141036987,"('outdoors', 'man-made', 'transportation_urban')",0.16577623784542084
fall,0.16459840536117554,"('outdoors', 'natural', 'body_of_water')",0.14964532852172852
push,0.15536616742610931,"('outdoors', 'man-made', 'transportation_urban')",0.14596034586429596
ready,0.1295071691274643,"('outdoors', 'man-made', 'recreation')",0.1390705555677414
carry,0.11885897815227509,"('outdoors', 'man-made', 'transportation_urban')",0.13425983488559723
open,0.1399683654308319,"('indoors', 'man-made', 'domestic')",0.13346946239471436
move,0.1418299823999405,"('outdoors', 'man-made', 'recreation')",0.12684288620948792
listen,0.1703798919916153,"('outdoors', 'man-made', 'transportation_urban')",0.12476319074630737
lift,0.15117016434669495,"('indoors', 'man-made', 'recreation')",0.11920216679573059
play,0.10605254769325256,"('outdoors', 'man-made', 'recreation')",0.11864962428808212
cold,0.16592489182949066,"('outdoors', 'man-made', 'transportation_urban')",0.11824534833431244
crowd,0.11521532386541367,"('outdoors', 'man-made', 'transportation_urban')",0.11626555025577545
say,0.1137605831027031,"('outdoors', 'man-made', 'transportation_urban')",0.11248885840177536
phone,0.15243932604789734,"('outdoors', 'man-made', 'transportation_urban')",0.11149804294109344
ride,0.1038454994559288,"('outdoors', 'man-made', 'recreation')",0.11079788953065872
talk,0.09125172346830368,"('outdoors', 'man-made', 'transportation_urban')",0.10897514969110489
lay,0.09489572793245316,"('outdoors', 'man-made', 'recreation')",0.10771293938159943
pair,0.1716262698173523,"('outdoors', 'man-made', 'transportation_urban')",0.10522153973579407
roll,0.09984227269887924,"('outdoors', 'man-made', 'transportation_urban')",0.10261218249797821
go,0.059043191373348236,"('outdoors', 'man-made', 'recreation')",0.10189356654882431
smile,0.10675880312919617,"('indoors', 'man-made', 'domestic')",0.09801449626684189
place,0.103477343916893,"('outdoors', 'man-made', 'transportation_urban')",0.09543619304895401
jump,0.13288614153862,"('outdoors', 'man-made', 'recreation')",0.0870102047920227
attempt,0.10245096683502197,"('outdoors', 'man-made', 'recreation')",0.08316098898649216
bend,0.10772809386253357,"('outdoors', 'man-made', 'transportation_urban')",0.08288051187992096
pull,0.11770763248205185,"('outdoors', 'man-made', 'transportation_urban')",0.08265779167413712
nice,0.10328337550163269,"('outdoors', 'man-made', 'transportation_urban')",0.08063647896051407
finish,0.13905911147594452,"('outdoors', 'man-made', 'recreation')",0.07862605154514313
tie,0.08198156207799911,"('outdoors', 'man-made', 'transportation_urban')",0.07343532890081406
interest,0.13680005073547363,"('outdoors', 'man-made', 'recreation')",0.07014896720647812
close,0.07819941639900208,"('outdoors', 'man-made', 'transportation_urban')",0.0691005289554596
fill,0.1056319996714592,"('outdoors', 'man-made', 'transportation_urban')",0.06791023164987564
adjust,0.1409720927476883,"('outdoors', 'man-made', 'recreation')",0.06471779942512512
focus,0.1638791710138321,"('outdoors', 'man-made', 'recreation')",0.06303861737251282
seem,0.07146787643432617,"('outdoors', 'man-made', 'transportation_urban')",0.06274396181106567
use,0.0673266351222992,"('outdoors', 'man-made', 'transportation_urban')",0.062391895800828934
sing,0.03316713124513626,"('outdoors', 'man-made', 'transportation_urban')",0.061888229101896286
enjoy,0.07090723514556885,"('outdoors', 'man-made', 'recreation')",0.06029859930276871
view,0.0761120393872261,"('outdoors', 'man-made', 'transportation_urban')",0.06020014360547066
clean,0.1483708620071411,"('outdoors', 'man-made', 'transportation_urban')",0.0595289021730423
new,0.13269707560539246,"('outdoors', 'man-made', 'transportation_urban')",0.05918500944972038
read,0.06123163923621178,"('outdoors', 'man-made', 'transportation_urban')",0.05901647359132767
print,0.10150329768657684,"('outdoors', 'man-made', 'recreation')",0.05874411761760712
watch,0.03339032828807831,"('outdoors', 'man-made', 'recreation')",0.056889671832323074
turn,0.059321023523807526,"('outdoors', 'man-made', 'transportation_urban')",0.05682578682899475
prepare,0.12713444232940674,"('outdoors', 'man-made', 'recreation')",0.056638941168785095
bottle,0.13049890100955963,"('outdoors', 'man-made', 'transportation_urban')",0.05566013976931572
flip,0.09344717860221863,"('outdoors', 'man-made', 'transportation_urban')",0.05538729205727577
make,0.08196049928665161,"('outdoors', 'man-made', 'transportation_urban')",0.05475858598947525
try,0.03665369376540184,"('outdoors', 'man-made', 'recreation')",0.051365625113248825
wed,0.09401951730251312,"('outdoors', 'man-made', 'recreation')",0.05118899419903755
stretch,0.11189175397157669,"('outdoors', 'man-made', 'transportation_urban')",0.05012979730963707
show,0.08893576264381409,"('outdoors', 'man-made', 'recreation')",0.04564213752746582
reach,0.07279404997825623,"('outdoors', 'man-made', 'transportation_urban')",0.04552208259701729
gather,0.03549426048994064,"('outdoors', 'man-made', 'transportation_urban')",0.04300249367952347
kneel,0.05322255194187164,"('outdoors', 'man-made', 'transportation_urban')",0.04258585721254349
stand,0.02102169767022133,"('outdoors', 'man-made', 'transportation_urban')",0.04226336255669594
point,0.07452124357223511,"('outdoors', 'man-made', 'transportation_urban')",0.04204965755343437
lean,0.05273779109120369,"('outdoors', 'man-made', 'transportation_urban')",0.041091665625572205
dress,0.03652802109718323,"('outdoors', 'man-made', 'transportation_urban')",0.03917931765317917
hang,0.05591434985399246,"('outdoors', 'man-made', 'transportation_urban')",0.03667023405432701
eat,0.062425799667835236,"('outdoors', 'man-made', 'transportation_urban')",0.03654055297374725
see,0.04265075922012329,"('outdoors', 'man-made', 'transportation_urban')",0.035470038652420044
arm,0.03347313031554222,"('outdoors', 'man-made', 'transportation_urban')",0.033904001116752625
face,0.059678271412849426,"('outdoors', 'man-made', 'transportation_urban')",0.03215492144227028
help,0.06613144278526306,"('outdoors', 'man-made', 'transportation_urban')",0.030137361958622932
photograph,0.02907118946313858,"('outdoors', 'man-made', 'transportation_urban')",0.029939888045191765
color,0.021831396967172623,"('outdoors', 'man-made', 'transportation_urban')",0.02932671830058098
get,0.025886060670018196,"('outdoors', 'man-made', 'transportation_urban')",0.029193352907896042
hand,0.035198234021663666,"('outdoors', 'man-made', 'transportation_urban')",0.024779580533504486
