,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,outdoors - man-made - work_education,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - transportation_urban,indoors - man-made - recreation,indoors - man-made - domestic,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,outdoors - man-made - restaurant,indoors - man-made - other_unclear
motion-01,,,1.0,,,,,,,,,,,,,
mark-01,,,1.0,,,,,,,,,,,,,
bask-01,,,1.0,,,,,,,,,,,,,
retrieve-01,,,1.0,,2.0,,,,,,,,,,,
repel-01,,,1.0,,,,,,,,,,,,,
sunbathe-01,,,2.0,,,,,,,,,,,,,
race-03,,,1.0,,,,,,1.0,,,,,,,
lock-01,,,1.0,,,,,,,,,,,,,
chase-01,,,1.0,,4.0,,,2.0,3.0,,1.0,,,,,
follow-01,,,2.0,,,,,,2.0,,,,,,,
team-01,,,1.0,,,,,,,,,,,,,
set-out-07,,,1.0,,,,,,,,,,,,,
stand-out-06,,,1.0,,,,,,,,,,,,,
rescue-01,,,1.0,,,,1.0,,,,,,,,,
dig-01,,,1.0,2.0,,,1.0,,,,,,,,,
kiteboard-01,,,1.0,,,,,,,,,,,,,
skim-02,,,1.0,,,,,,,,,,,,,
chill-01,,,1.0,,1.0,,,,,,,,,,,
catch-03,,,1.0,,1.0,,,,1.0,,,,,,,
write-01,,,,2.0,,4.0,,,,,,1.0,2.0,,1.0,
squeeze-01,,,,1.0,,1.0,,,,,,1.0,,,,
organize-01,,,,1.0,,,,,,,,,,,,
dock-01,,,,1.0,,,,,,,,,,,,
harvest-01,,,,1.0,2.0,,,,,,,,,,,
process-02,,,,1.0,,,,,1.0,,,,,,,
choose-01,,,,2.0,,,,,,,,,,,,
lower-05,,,,1.0,1.0,,,,,,,,,,1.0,
search-01,,,,1.0,,1.0,,,,,,,,,,
attend-01,,,,1.0,,1.0,,,1.0,,2.0,,,,,
hanging-07,,,,1.0,,,,,,,,,,,,
weld-01,,,,1.0,,,,,,,,,,,,
continue-01,,,,1.0,,,,,,,,,,,,
advertise-01,,,,1.0,,,,,,,,,,,,
explain-01,,,,1.0,,1.0,,,,,,,,,,
pick-out-03,,,,1.0,,,,,,,,,,,,
paint-out-03,,,,1.0,,,,,,,,,,,,
mind-15,,,,1.0,,,,,,,,,,,,
wrap-01,,,,1.0,,,,,,,1.0,,,,,
hawk-01,,,,2.0,,,,,,,,,,,,
weave-01,,,,1.0,,1.0,,1.0,,,,,,,,
huddle-01,,,,1.0,,,,1.0,1.0,,,,,1.0,,
survey-01,,,,1.0,1.0,1.0,,,,,,,,,,
pick-01,,,,1.0,2.0,,,,,,,,,,,
look-over-11,,,,1.0,,,,,,,1.0,,,,,
poke-01,,,,1.0,,,1.0,,1.0,,,,,,,
spill-01,,,,1.0,,,,,,,,,,,,
attach-01,,,,1.0,,,,,,,,,,,,
install-01,,,,1.0,,,,,,,,,,,,
shovel-01,,,,1.0,,,,4.0,,,,,,,,
address-01,,,,,1.0,,,,,,,,,,,
trots-01,,,,,1.0,,,,,,,,,,,
mushing-01,,,,,1.0,,,,,,,,,,,
grill-01,,,,,1.0,,,5.0,,,,,,,1.0,
pass-04,,,,,1.0,,,,,,,,,,,
face-01,,,,,4.0,,,,1.0,,3.0,,,1.0,,
leap-03,,,,,2.0,,,,2.0,,,,,1.0,,
barbecue-01,,,,,1.0,,,1.0,2.0,,,,,,,
romp-01,,,,,2.0,,,,,,,,,,,
gallop-01,,,,,2.0,,,,,,,,,,,
pull-06,,,,,3.0,,,,1.0,,,,,,,
pose-02,,,,,1.0,,,,,,,,,,,
play-out-03,,,,,1.0,,,,,,,,,,,
experience-01,,,,,1.0,,,,,,,,,,,
swing-03,,,,,1.0,,,,1.0,,,,,,,
swing-01,,,,,1.0,,,,8.0,,1.0,,,,,
greet-01,,,,,1.0,,,1.0,,,,,,,,
paw-01,,,,,1.0,,,,,,,,,,,
graze-01,,,,,1.0,,,,,,,,,,,
return-01,,,,,1.0,,,,,,,,,,,
drool-01,,,,,1.0,,,,,,,,,,,
sniff-01,,,,,1.0,,,,,,,,,,,
carve-01,,,,,1.0,,,,,,,1.0,,,,
record-01,,,,,1.0,,,,,,,,,,,
break-16,,,,,2.0,,,,,,,,,,,
carry-out-03,,,,,1.0,,,,,,,,,,,
inspect-01,,,,,1.0,3.0,,,1.0,,,1.0,,,,
pause-01,,,,,2.0,1.0,1.0,,4.0,,1.0,,1.0,,,
lope-01,,,,,1.0,,,,,,,,,,,
ski-01,,,,,1.0,,14.0,,1.0,,,,,,,
bark-01,,,,,1.0,,,,1.0,,,,,1.0,,
strech-01,,,,,1.0,,,,,,,,,,,
tease-01,,,,,1.0,,,,,,,,,,,
cry-02,,,,,1.0,,,,1.0,1.0,,2.0,1.0,,,1.0
pet-01,,,,,3.0,,,,1.0,,,,1.0,,,
wrestle-01,,,,,2.0,,,,1.0,,2.0,3.0,,,,
accompany-01,,,,,1.0,,,,,,,,,,,
investigate-01,,,,,1.0,,,,,,,,1.0,,,
space-01,,,,,1.0,,,,,,,,,,,
look-into-11,,,,,1.0,,,,,,,,,,,
spread-02,,,,,1.0,,,,,,,,,,,
excite-01,,,,,1.0,,,,,,,,,,,
peek-01,,,,,1.0,,,1.0,,,,1.0,,,,
remove-01,,,,,1.0,,,,,,,,,,,
compete-01,,,,,1.0,,,,7.0,,3.0,,,,,
brave-01,,,,,1.0,,,,,,,,,,,
power-01,,,,,1.0,,,,,,,,,,,
herd-01,,,,,1.0,,,,,,,,,,,
perform-02,,,,,,1.0,,,,,,,,,,
try-out-04,,,,,,1.0,,,,,,,,,,
recline-01,,,,,,2.0,,,1.0,,,,,,,
hold-04,,,,,,1.0,,,1.0,,,,,,,
peruse-01,,,,,,1.0,,,,,,,,,,
pedicure-01,,,,,,1.0,,,,,,,,,,
plot-01,,,,,,1.0,,,,,,,,,,
purchase-01,,,,,,2.0,,,,,,,,,,
say-01,,,,,,1.0,,,,,,,,1.0,,
present-01,,,,,,6.0,,,1.0,,,,,,,
note-01,,,,,,1.0,,,,,,,,,,
type-01,,,,,,1.0,,,,,,,,,,
patent-01,,,,,,1.0,,,,,,,,,,
point-04,,,,,,1.0,,,,,,,,,,
study-01,,,,,,1.0,,,,,,,,,,2.0
grimace-01,,,,,,1.0,,,1.0,,,,,,,
arrange-01,,,,,,1.0,,,,,2.0,1.0,,,,1.0
complete-01,,,,,,1.0,,,,,1.0,,1.0,,,
clasp-01,,,,,,1.0,,,,,,,,,,
assist-01,,,,,,1.0,,,1.0,,1.0,,,,,
train-01,,,,,,1.0,,,1.0,,,,,,,
include-01,,,,,,1.0,,,,,,,,,,
mop-01,,,,,,1.0,,,,,,,,,,
go-over-26,,,,,,1.0,,,,,,,,,,
craft-01,,,,,,1.0,,,,,,,,,,
mill-01,,,,,,1.0,,,,,,,,,,
select-01,,,,,,1.0,,,,,,,,,,
fall-07,,,,,,1.0,,,,,,1.0,,,1.0,
sand-01,,,,,,1.0,,,1.0,,,,,,,
experiment-01,,,,,,2.0,,,,,,,,,,
eyeball-01,,,,,,1.0,,,,,,,,,,
analyze-01,,,,,,1.0,,,,,,,,,,
apply-02,,,,,,1.0,,,,,,,,,,1.0
receive-01,,,,,,1.0,,,,,,,1.0,,,
learn-01,,,,,,1.0,,,,,,,,,,
involve-01,,,,,,1.0,,,,,,,,,,
heat-01,,,,,,1.0,,,,,,,,,,
fill-in-03,,,,,,1.0,,,,,,,,,,
flash-01,,,,,,1.0,,,,,,,,,1.0,
traverse-01,,,,,,,1.0,,,,,,,,,
trudge-01,,,,,,,1.0,,,1.0,,,,,,
hang-02,,,,,,,1.0,,,,,,1.0,,,
peek-out-03,,,,,,,1.0,,,,,,,,,
full-09,,,,,,,1.0,,,,,,,,,1.0
snowboard-01,,,,,,,1.0,,,,,,,,,
cooperate-01,,,,,,,1.0,,,,,,,,,
film-01,,,,,,,1.0,,,,,,,,,
cycle-01,,,,,,,1.0,,,,,,,,,
board-03,,,,,,,2.0,,,,,,,,,
dine-01,,,,,,,1.0,,,,,,,,,
dry-02,,,,,,,1.0,1.0,,,,,,,,
sky-01,,,,,,,1.0,,,,,,,,,
have-degree-91,,,,,,,1.0,,,,,,,,,
make-19,,,,,,,1.0,,,,,,,,,
slide-01,,,,,,,1.0,,4.0,,1.0,,,1.0,,
scale-01,,,,,,,2.0,,,,1.0,,,,,
sled-01,,,,,,,1.0,,,,,,,,,
kick-up-04,,,,,,,1.0,,2.0,,,,,,,
rappel-01,,,,,,,1.0,,,,,,,,,
want-01,,,,,,,,1.0,,,,,,,,
float-01,,,,,,,,1.0,,,,,,,,
amuse-01,,,,,,,,1.0,,,,,,,,
toss-01,,,,,,,,3.0,3.0,,,,,,,
stuff-01,,,,,,,,1.0,,,,1.0,,,,
roughhousing-00,,,,,,,,1.0,,,,,,,,
crawl-01,,,,,,,,1.0,1.0,,1.0,1.0,,,,
confront-01,,,,,,,,1.0,,,,,,,,
spike-04,,,,,,,,1.0,,,,,,,,
break-up-08,,,,,,,,1.0,,,,,,,,
marry-01,,,,,,,,1.0,,,,,,,,
adventure-01,,,,,,,,1.0,,,,,,,,
towel-01,,,,,,,,1.0,,,,,,,,
bounce-01,,,,,,,,1.0,2.0,,,1.0,,,,
chop-01,,,,,,,,1.0,,,,1.0,,,,
handstand-01,,,,,,,,1.0,,,,1.0,,,,
bathe-01,,,,,,,,1.0,,,,2.0,,,,
spar-01,,,,,,,,1.0,,,4.0,,,,,
clip-01,,,,,,,,1.0,,,,,,,,
bite-01,,,,,,,,,1.0,,,2.0,,1.0,,
clean-out-03,,,,,,,,,1.0,,,,,,,
align-01,,,,,,,,,1.0,,,,,,,
grin-01,,,,,,,,,1.0,,,,,,,
shake-off-03,,,,,,,,,1.0,,,,,,,
jomps-01,,,,,,,,,1.0,,,,,,,
lung-01,,,,,,,,,1.0,,,,,,,
grab-01,,,,,,,,,4.0,,,,,,,
stand-up-07,,,,,,,,,1.0,,1.0,,,,,
stroke-01,,,,,,,,,1.0,,,,,,,
measure-01,,,,,,,,,1.0,,,,,,,
lunch-01,,,,,,,,,1.0,,,,,,,
inflate-01,,,,,,,,,1.0,,,,,,,
participate-01,,,,,,,,,5.0,,2.0,,,,,
tackle-01,,,,,,,,,1.0,,,,,,,
go-03,,,,,,,,,1.0,,,,,,,
lecture-01,,,,,,,,,1.0,,,,,,,
stick-out-03,,,,,,,,,1.0,,,,,,,
perch-01,,,,,,,,,1.0,,,,,,,
drug-01,,,,,,,,,1.0,,,,,,,
obligate-01,,,,,,,,,1.0,,,,,,,
plant-01,,,,,,,,,1.0,,,,,,,
emerge-02,,,,,,,,,1.0,,,,,,,
cause-01,,,,,,,,,1.0,,,,,,,
kick-04,,,,,,,,,1.0,,,,,,,
wind-up-02,,,,,,,,,1.0,,,,,,,
stand-around-00,,,,,,,,,1.0,,,,,,,1.0
pitch-04,,,,,,,,,2.0,,,,,,,
teach-01,,,,,,,,,1.0,,1.0,,,,,
hang-on-05,,,,,,,,,1.0,,,,,,,
mark-02,,,,,,,,,1.0,,,,,,,
dribble-01,,,,,,,,,2.0,,1.0,,,,,
become-01,,,,,,,,,1.0,,,,,,,
go-01,,,,,,,,,1.0,,,,,,,
dunk-01,,,,,,,,,1.0,,,,,,,
collide-01,,,,,,,,,1.0,,,,,,,
beat-02,,,,,,,,,1.0,,1.0,,,,,
cling-01,,,,,,,,,1.0,,,,,,,
fall-01,,,,,,,,,1.0,,,,,1.0,,
grind-01,,,,,,,,,2.0,,1.0,,,,,
proceed-01,,,,,,,,,1.0,,,,,,,
face-03,,,,,,,,,1.0,,,,,,,
call-01,,,,,,,,,2.0,,,,,,,
instruct-01,,,,,,,,,1.0,,,,,,,
visit-01,,,,,,,,,1.0,,,,,,,
manipulate-02,,,,,,,,,1.0,,,,,,,
hang-out-06,,,,,,,,,1.0,,1.0,,,,,
introduce-01,,,,,,,,,1.0,,,,,,,
hand-out-03,,,,,,,,,1.0,,,,,,,
sign-up-03,,,,,,,,,1.0,,,,,,,
differ-02,,,,,,,,,1.0,,,,,,,
finish-01,,,,,,,,,5.0,,,1.0,,,,
buck-01,,,,,,,,,1.0,,,,,,,
hold-03,,,,,,,,,1.0,,,,,,,
hold-on-06,,,,,,,,,1.0,,,,,,,
wet-01,,,,,,,,,2.0,,,,,,,
have-concession-91,,,,,,,,,1.0,,,,,,,
brace-01,,,,,,,,,1.0,,,,,,,
swarm-01,,,,,,,,,1.0,,,,,,,
lasso-01,,,,,,,,,1.0,,,,,,,
rope-01,,,,,,,,,2.0,,,,,,,
tire-01,,,,,,,,,1.0,,,,,,,
have-04,,,,,,,,,1.0,,,1.0,,,,
strike-01,,,,,,,,,2.0,,,1.0,,1.0,,
hurl-01,,,,,,,,,1.0,,1.0,,,,,
launch-01,,,,,,,,,2.0,,,,,,,
prance-01,,,,,,,,,1.0,,,,,,,
descend-01,,,,,,,,,1.0,,,,,,,
tag-02,,,,,,,,,1.0,,,,,,,
stall-01,,,,,,,,,1.0,,,,,,,
stoop-01,,,,,,,,,1.0,,,,,,,
hit-02,,,,,,,,,1.0,,,,,,,
rollerskate-01,,,,,,,,,1.0,,,,,,,
work-out-02,,,,,,,,,1.0,,,,,,,
conclude-02,,,,,,,,,1.0,,,,,,,
clear-01,,,,,,,,,1.0,,,,,,,
turn-over-12,,,,,,,,,1.0,,,,,,,
routine-01,,,,,,,,,1.0,,,,,,,
tow-01,,,,,,,,,1.0,,,,,,,
follow-through-04,,,,,,,,,1.0,,,,,,,
pass-out-10,,,,,,,,,1.0,,,,,,,
star-01,,,,,,,,,,1.0,,,1.0,,,
chew-01,,,,,,,,,,1.0,,,,,,
empty-02,,,,,,,,,,1.0,,,,,,
frisk-01,,,,,,,,,,1.0,,,,,,
suck-01,,,,,,,,,,1.0,,,,,,
depict-01,,,,,,,,,,1.0,,,,,,
bowl-01,,,,,,,,,,,3.0,,,,,
divide-02,,,,,,,,,,,1.0,,,,,
clap-01,,,,,,,,,,,1.0,,1.0,,,
release-01,,,,,,,,,,,1.0,,,,,
contest-02,,,,,,,,,,,2.0,,,,,
box-03,,,,,,,,,,,3.0,,,,,
jam-out-01,,,,,,,,,,,1.0,,,,,
play-10,,,,,,,,,,,1.0,,,,,
rehearse-01,,,,,,,,,,,2.0,,,,,
spare-01,,,,,,,,,,,1.0,,,,,
yell-01,,,,,,,,,,,1.0,,,,,
rise-01,,,,,,,,,,,1.0,,,,,
kickbox-00,,,,,,,,,,,2.0,,,,,
supervise-01,,,,,,,,,,,1.0,,,,,
cartwheel-01,,,,,,,,,,,1.0,,,,,
accept-01,,,,,,,,,,,1.0,1.0,,,,
shuffle-01,,,,,,,,,,,1.0,,,,,
mingle-01,,,,,,,,,,,2.0,,,,,
hook-up-02,,,,,,,,,,,1.0,,,,,
sneer-01,,,,,,,,,,,1.0,,,,,
pray-01,,,,,,,,,,,2.0,,,,,1.0
act-01,,,,,,,,,,,1.0,,,,,
capture-01,,,,,,,,,,,1.0,,,,,
protect-01,,,,,,,,,,,1.0,,,,,
communicate-01,,,,,,,,,,,1.0,,,,,
bow-01,,,,,,,,,,,2.0,,2.0,,,1.0
deliver-01,,,,,,,,,,,1.0,,,,,
match-03,,,,,,,,,,,1.0,,,,,
illuminate-01,,,,,,,,,,,1.0,,,,,
jitterbug-01,,,,,,,,,,,1.0,,,,,
hear-01,,,,,,,,,,,1.0,,,,,
reject-01,,,,,,,,,,,1.0,,,,,
groove-01,,,,,,,,,,,1.0,,,,,
face-off-06,,,,,,,,,,,1.0,,,,,
dunk-02,,,,,,,,,,,1.0,,,,,
breakdance-01,,,,,,,,,,,1.0,,,,,
leave-11,,,,,,,,,,,1.0,,,,,
kick-off-04,,,,,,,,,,,1.0,,,,,
intense-02,,,,,,,,,,,1.0,,,,,
approach-02,,,,,,,,,,,1.0,,,,,
close-up-10,,,,,,,,,,,,1.0,,,,
stir-01,,,,,,,,,,,,2.0,,,,
fold-03,,,,,,,,,,,,1.0,,,,
interview-01,,,,,,,,,,,,1.0,,,,
drill-01,,,,,,,,,,,,1.0,,,,
cave-01,,,,,,,,,,,,1.0,,,,
rad-01,,,,,,,,,,,,1.0,,,,
present-02,,,,,,,,,,,,1.0,,,,
concentrate-01,,,,,,,,,,,,1.0,1.0,,,
strum-01,,,,,,,,,,,,1.0,,,,
pretend-01,,,,,,,,,,,,1.0,,,,
soak-01,,,,,,,,,,,,1.0,,,,
blast-05,,,,,,,,,,,,1.0,,,,
wake-up-02,,,,,,,,,,,,1.0,,,,
cry-01,,,,,,,,,,,,1.0,,,,1.0
vacuuum-01,,,,,,,,,,,,1.0,,,,
serve-up-03,,,,,,,,,,,,1.0,,,,
comb-01,,,,,,,,,,,,1.0,,,,
style-01,,,,,,,,,,,,1.0,,,,
brush-01,,,,,,,,,,,,3.0,,,,
light-04,,,,,,,,,,,,1.0,1.0,,,1.0
scuba-dive-00,,,,,,,,,,,,1.0,,,,
unpack-01,,,,,,,,,,,,1.0,,,,
shower-01,,,,,,,,,,,,1.0,,,,
slump-01,,,,,,,,,,,,1.0,,,,
empty-01,,,,,,,,,,,,1.0,,,,
mess-up-02,,,,,,,,,,,,1.0,,,,
chop-up-03,,,,,,,,,,,,1.0,,,,
jam-01,,,,,,,,,,,,1.0,,,,
chip-01,,,,,,,,,,,,,1.0,,,
carve-02,,,,,,,,,,,,,1.0,,,
tattoo-01,,,,,,,,,,,,,1.0,,,
belch-01,,,,,,,,,,,,,1.0,,,
fetch-01,,,,,,,,,,,,,1.0,,,
burn-01,,,,,,,,,,,,,1.0,,,
mouthmouth-01,,,,,,,,,,,,,1.0,,,
clenched-04,,,,,,,,,,,,,2.0,,,
break-down-11,,,,,,,,,,,,,1.0,,,
demand-01,,,,,,,,,,,,,1.0,,,
crack-02,,,,,,,,,,,,,1.0,,,
go-off-16,,,,,,,,,,,,,1.0,,,
growl-01,,,,,,,,,,,,,,1.0,,
socialize-02,,,,,,,,,,,,,,1.0,,
loop-01,,,,,,,,,,,,,,1.0,,
prop-up-01,,,,,,,,,,,,,,1.0,,
light-up-08,,,,,,,,,,,,,,,1.0,
grill-up-02,,,,,,,,,,,,,,,1.0,
char-01,,,,,,,,,,,,,,,1.0,
interrupt-01,,,,,,,,,,,,,,,1.0,
up-03,,,,,,,,,,,,,,,,1.0
answer-01,,,,,,,,,,,,,,,,1.0
bring-01,,,,,,,,,,,,,,,,1.0
block-01,,,,,,,,,,,,,,,,1.0
lead-02,,,,,,,,,,,,,,,,1.0
button-01,,,,,,,,,,,,,,,,1.0
side-01,,,,,,,,,,,,,,,,1.0
weigh-01,,,,,,,,,,,,,,,,1.0
sillhout-00,,,,,,,,,,,,,,,,1.0
gesticulate-01,,,,,,,,,,,,,,,,1.0
paint-over-02,,,,,,,,,,,,,,,,1.0
cradle-01,,,,,,,,,,,,,,,,1.0
embrace-02,,,,,,,,,,,,,,,,1.0
minister-01,,,,,,,,,,,,,,,,1.0
